ts,correlation,ph,dur,tid,pid,cbid,cat,External id,name
6444517265018.9,919,X,1.571,1221244,1221244,273,cuda_runtime,161,cudaFuncSetAttribute
6444517265020.695,920,X,0.59,1221244,1221244,273,cuda_runtime,161,cudaFuncSetAttribute
6444517265021.715,921,X,5.097,1221244,1221244,430,cuda_runtime,161,cudaLaunchKernelExC
6444517265027.944,923,X,0.104,1221244,1221244,11,cuda_runtime,161,cudaPeekAtLastError
6444517265083.429,930,X,8.096,1221244,1221244,211,cuda_runtime,162,cudaLaunchKernel
6444517265156.503,944,X,2.286,1221244,1221244,135,cuda_runtime,165,cudaEventRecord
6444517265159.167,945,X,0.694,1221244,1221244,317,cuda_runtime,165,cudaStreamIsCapturing
6444517265160.19,946,X,0.673,1221244,1221244,203,cuda_runtime,165,cudaStreamGetPriority
6444517265161.16,947,X,0.55,1221244,1221244,205,cuda_runtime,165,cudaDeviceGetStreamPriorityRange
6444517265200.717,971,X,1.3,1221244,1221244,135,cuda_runtime,165,cudaEventRecord
6444517265202.223,972,X,0.477,1221244,1221244,317,cuda_runtime,165,cudaStreamIsCapturing
6444517265202.906,973,X,0.42,1221244,1221244,203,cuda_runtime,165,cudaStreamGetPriority
6444517265203.557,974,X,0.377,1221244,1221244,205,cuda_runtime,165,cudaDeviceGetStreamPriorityRange
6444517265214.981,982,X,1.602,1221244,1221244,273,cuda_runtime,165,cudaFuncSetAttribute
6444517265217.454,983,X,8.75,1221244,1221244,211,cuda_runtime,165,cudaLaunchKernel
6444517265251.874,990,X,6.226,1221244,1221244,211,cuda_runtime,173,cudaLaunchKernel
6444517265293.738,997,X,6.718,1221244,1221244,211,cuda_runtime,175,cudaLaunchKernel
6444517265397.335,1010,X,2.386,1221244,1221244,135,cuda_runtime,179,cudaEventRecord
6444517265400.222,1011,X,0.657,1221244,1221244,317,cuda_runtime,179,cudaStreamIsCapturing
6444517265401.185,1012,X,0.715,1221244,1221244,203,cuda_runtime,179,cudaStreamGetPriority
6444517265402.249,1013,X,0.534,1221244,1221244,205,cuda_runtime,179,cudaDeviceGetStreamPriorityRange
6444517265410.33,1019,X,1.131,1221244,1221244,317,cuda_runtime,179,cudaStreamIsCapturing
6444517265411.939,1020,X,118.228,1221244,1221244,20,cuda_runtime,179,cudaMalloc
6444517265547.761,1021,X,32.128,1221244,1221244,211,cuda_runtime,179,cudaLaunchKernel
6444517265582.399,1023,X,5.401,1221244,1221244,211,cuda_runtime,179,cudaLaunchKernel
6444517265592.628,1025,X,1.809,1221244,1221244,273,cuda_runtime,179,cudaFuncSetAttribute
6444517265594.831,1026,X,0.224,1221244,1221244,11,cuda_runtime,179,cudaPeekAtLastError
6444517265596.873,1027,X,6.635,1221244,1221244,211,cuda_runtime,179,cudaLaunchKernel
6444517265604.661,1030,X,0.165,1221244,1221244,11,cuda_runtime,179,cudaPeekAtLastError
6444517265607.591,1031,X,5.628,1221244,1221244,211,cuda_runtime,179,cudaLaunchKernel
6444517265696.987,1039,X,8.308,1221244,1221244,211,cuda_runtime,180,cudaLaunchKernel
6444517265782.123,1053,X,2.835,1221244,1221244,135,cuda_runtime,183,cudaEventRecord
6444517265785.372,1054,X,0.855,1221244,1221244,317,cuda_runtime,183,cudaStreamIsCapturing
6444517265786.571,1055,X,0.754,1221244,1221244,203,cuda_runtime,183,cudaStreamGetPriority
6444517265787.692,1056,X,0.688,1221244,1221244,205,cuda_runtime,183,cudaDeviceGetStreamPriorityRange
6444517265829.682,1080,X,1.331,1221244,1221244,135,cuda_runtime,183,cudaEventRecord
6444517265831.221,1081,X,0.512,1221244,1221244,317,cuda_runtime,183,cudaStreamIsCapturing
6444517265831.936,1082,X,0.405,1221244,1221244,203,cuda_runtime,183,cudaStreamGetPriority
6444517265832.589,1083,X,0.372,1221244,1221244,205,cuda_runtime,183,cudaDeviceGetStreamPriorityRange
6444517265844.621,1091,X,1.885,1221244,1221244,273,cuda_runtime,183,cudaFuncSetAttribute
6444517265847.333,1092,X,9.201,1221244,1221244,211,cuda_runtime,183,cudaLaunchKernel
6444517265903.8,1100,X,7.797,1221244,1221244,211,cuda_runtime,192,cudaLaunchKernel
6444517265991.474,1111,X,1.4,1221244,1221244,317,cuda_runtime,196,cudaStreamIsCapturing
6444517265993.363,1112,X,115.796,1221244,1221244,20,cuda_runtime,196,cudaMalloc
6444517266122.441,1117,X,2.872,1221244,1221244,135,cuda_runtime,196,cudaEventRecord
6444517266125.725,1118,X,0.669,1221244,1221244,317,cuda_runtime,196,cudaStreamIsCapturing
6444517266126.824,1119,X,0.673,1221244,1221244,203,cuda_runtime,196,cudaStreamGetPriority
6444517266127.856,1120,X,0.622,1221244,1221244,205,cuda_runtime,196,cudaDeviceGetStreamPriorityRange
6444517266147.514,1124,X,13.239,1221244,1221244,211,cuda_runtime,196,cudaLaunchKernel
6444517266162.961,1126,X,4.197,1221244,1221244,211,cuda_runtime,196,cudaLaunchKernel
6444517266172.041,1128,X,1.928,1221244,1221244,273,cuda_runtime,196,cudaFuncSetAttribute
6444517266174.368,1129,X,0.225,1221244,1221244,11,cuda_runtime,196,cudaPeekAtLastError
6444517266175.754,1130,X,6.81,1221244,1221244,211,cuda_runtime,196,cudaLaunchKernel
6444517266183.852,1133,X,0.109,1221244,1221244,11,cuda_runtime,196,cudaPeekAtLastError
6444517266186.469,1134,X,4.98,1221244,1221244,211,cuda_runtime,196,cudaLaunchKernel
6444517266268.784,1142,X,8.296,1221244,1221244,211,cuda_runtime,197,cudaLaunchKernel
6444517266350.478,1156,X,2.643,1221244,1221244,135,cuda_runtime,200,cudaEventRecord
