ts,ph,tid,pid,cat,bp,id,name
6444517267545.87,s,1221244,1221244,ac2g,,1396,ac2g
6444517267645.668,f,1221244,1221244,ac2g,e,1409,ac2g
6444517267648.265,f,1221244,1221244,ac2g,e,1410,ac2g
6444517267649.366,f,1221244,1221244,ac2g,e,1411,ac2g
6444517267650.339,f,1221244,1221244,ac2g,e,1412,ac2g
6444517267679.208,f,7,0,ac2g,e,1416,ac2g
6444517267668.664,s,1221244,1221244,ac2g,,1416,ac2g
6444517267686.952,f,7,0,ac2g,e,1418,ac2g
6444517267680.893,s,1221244,1221244,ac2g,,1418,ac2g
6444517267689.871,f,1221244,1221244,ac2g,e,1420,ac2g
6444517267691.89,f,1221244,1221244,ac2g,e,1421,ac2g
6444517267700.68,f,7,0,ac2g,e,1422,ac2g
6444517267693.201,s,1221244,1221244,ac2g,,1422,ac2g
6444517267700.127,f,1221244,1221244,ac2g,e,1425,ac2g
6444517267728.392,f,7,0,ac2g,e,1426,ac2g
6444517267702.322,s,1221244,1221244,ac2g,,1426,ac2g
6444517267776.425,f,7,0,ac2g,e,1434,ac2g
6444517267766.833,s,1221244,1221244,ac2g,,1434,ac2g
6444517267837.468,f,1221244,1221244,ac2g,e,1444,ac2g
6444517267839.49,f,1221244,1221244,ac2g,e,1445,ac2g
6444517267954.13,f,1221244,1221244,ac2g,e,1452,ac2g
6444517267957.338,f,1221244,1221244,ac2g,e,1453,ac2g
6444517267958.337,f,1221244,1221244,ac2g,e,1454,ac2g
6444517267959.833,f,1221244,1221244,ac2g,e,1455,ac2g
6444517268007.696,f,1221244,1221244,ac2g,e,1479,ac2g
6444517268009.229,f,1221244,1221244,ac2g,e,1480,ac2g
6444517268009.953,f,1221244,1221244,ac2g,e,1481,ac2g
6444517268010.611,f,1221244,1221244,ac2g,e,1482,ac2g
